Name,Date & Time ⏰,Tags,Length (Minutes),Guided,Real date
Great morning!,"October 29, 2022 11:28 AM","Body / Grounding Awareness, Contemplation",19,,
Needed sit,"October 28, 2022 2:54 PM",Body / Grounding Awareness,16,,
Evening yoga,"October 27, 2022 9:47 PM",Yoga,10,,
Quick 8,"October 27, 2022 1:36 PM",Thoughts / Attention Wandering,8,,
Understanding of wandering,"October 26, 2022 12:08 PM",Thoughts / Attention Wandering,25,,
Thinking in bunches,"October 25, 2022 11:05 AM",Thoughts / Attention Wandering,38,,
ZEN CENTER RETREAT 10-23-22,"October 24, 2022 1:19 AM",RETREAT,60,,
Sunday life contemplation,"October 24, 2022 12:41 AM",Contemplation,35,,
Thank you for these forces,"October 22, 2022 2:07 PM",Body / Grounding Awareness,22,,
Pain,"October 20, 2022 8:56 PM",,11,,
It’s time to watch the rabbit hole,"October 20, 2022 11:45 AM",Thoughts / Attention Wandering,25,,
Evening sits are OP,"October 19, 2022 7:20 PM",Body / Grounding Awareness,13,,
breathing as now,"October 19, 2022 12:08 PM",Mindfulness of Breathing,15,,
Ace anger,"October 18, 2022 11:33 AM",,13,,
Death meditation - Yogi Bryan,"October 17, 2022 11:22 AM",Death,38,Yes,
Beauty of 2 a day,"October 17, 2022 1:28 AM",Stillness,10,,
Sunday stillness,"October 16, 2022 2:54 PM",Stillness,33,,
Thank you for this beautiful contemplation,"October 15, 2022 8:09 PM",Contemplation,32,,
Eckhart guided,"October 15, 2022 1:06 PM",Stillness,33,Guided,
still again,"October 14, 2022 1:06 PM",Stillness,17,Guided,
Empty Resistance,"October 13, 2022 11:32 AM","Contemplation, Shadow / Trauma",45,,
Metta Return 7/7,"October 12, 2022 11:07 AM","Body / Grounding Awareness, Metta",43,,
The Most Satisfying Breath,"October 11, 2022 9:34 PM",Mindfulness of Breathing,7,,
Metta Return 6/7,"October 11, 2022 10:10 AM",Metta,46,,
"Fingers for precision ","October 10, 2022 11:50 AM",Fingers Touching,7,,
Recess + LoA,"October 9, 2022 7:51 PM",Body / Grounding Awareness,12,,
BMA Friday Night Calm (10/7),"October 8, 2022 4:20 PM",Contemplation,30,,
Metta Return 5/7,"October 8, 2022 3:48 PM","Body / Grounding Awareness, Metta",33,,
Metta Return 4/7,"October 7, 2022 2:50 PM","Body / Grounding Awareness, Metta",33,,
Metta Return 3/7,"October 6, 2022 12:55 PM","Body / Grounding Awareness, Metta",47,,
Piercing,"October 5, 2022 10:06 PM",,5,,
Metta Return 2/7,"October 5, 2022 11:59 AM","Body / Grounding Awareness, Metta",44,,
Metta Return 1/7,"October 4, 2022 11:02 AM","Body / Grounding Awareness, Metta",40,,
Quick in car,"October 3, 2022 12:13 PM","Body / Grounding Awareness, Mindfulness of Breathing",5,,
What do I need to change for this semester?,"October 2, 2022 9:47 PM",Contemplation,30,,
Cloudy,"October 2, 2022 3:44 PM",,11,,
Calm cleaning,"October 1, 2022 2:17 PM",Body / Grounding Awareness,17,,
Bringing it back,"September 29, 2022 1:07 PM",Body / Grounding Awareness,6,,
Breathing Well,"September 27, 2022 11:47 AM",Mindfulness of Breathing,25,,
High energy,"September 22, 2022 11:48 AM",Stillness,26,,
Contemplating dullness,"September 21, 2022 11:08 AM","Body / Grounding Awareness, Dullness, Elemental Qualities",39,,
Cloudy mud,"September 20, 2022 10:14 AM",Mindfulness of Breathing,36,,
Sharpening the blade,"September 19, 2022 11:01 AM",Mindfulness of Breathing,55,,
Delicious breath - HIGH SUKHA,"September 17, 2022 1:27 PM","Doing Nothing, Stillness",30,,
Pre folding clothed,"September 16, 2022 11:41 AM",Mindfulness of Breathing,17,,
Hardness and heat,"September 15, 2022 11:00 AM","Body / Grounding Awareness, Contemplation, Elemental Qualities, Pain",47,,
Evening sit,"September 14, 2022 8:25 PM",,3,,
Interested in the breath,"September 14, 2022 10:32 AM",Mindfulness of Breathing,43,,
New energy,"September 13, 2022 10:35 AM","Mindfulness of Breathing, Wide awareness",45,,
Monday recalibration,"September 12, 2022 11:31 AM","Body / Grounding Awareness, Mindfulness of Breathing",20,,
What are the feelings surrounding sex?,"September 10, 2022 12:54 PM","Contemplation, Sex, Shadow / Trauma",37,,
Walking + Friday recess,"September 9, 2022 12:59 PM","Stillness, Walking",25,,
Stillness,"September 8, 2022 11:54 AM",Stillness,38,Partially,
How is comfort in SS materializing?,"September 7, 2022 10:34 AM",Contemplation,37,,
“What is caring about what others think?”,"September 6, 2022 9:58 AM",Contemplation,40,,
"Mindfulness of knots, pain, & dullness","August 19, 2022 12:15 PM",,30,,
"Fingers touch is longer ","January 15, 2022 5:20 PM",,,,
thumbs,"January 13, 2022 1:40 PM",,,,
"Pain is no problem ","January 12, 2022 3:20 PM",,,,
I accept 1-10-22,"January 10, 2022 7:00 PM",,,,
Still 1-8-22,"January 8, 2022 3:38 PM",,,,
A dew happy Jhana morning 1-5-22,"January 5, 2022 11:20 AM",,,,
Wow,"January 4, 2022 10:03 AM",,,,
Saturday sit 1-1-22,"January 1, 2022 5:52 PM",,,,
Ranged 12-28-21,"December 28, 2021 12:51 PM",,,,
Resting the source 12-21-21,"December 21, 2021 11:29 PM",,,,
sensations now 12-20-21,"December 20, 2021 9:49 PM",,,,
Sleepy but alert 12-18-21,"December 18, 2021 4:32 PM",,,,
TMI return 12-14-21,"December 14, 2021 5:33 PM",,,,
Pain honesty 12-5-22,"December 5, 2021 3:19 PM",,,,
Pain from the get go 12-2-21,"December 2, 2021 3:29 PM",,,,
Enjoyment 11-30-21,"November 30, 2021 10:25 AM",,,,
Healing 11-29-21,"November 29, 2021 5:08 PM",,,,
Here is good 11-26-21,"November 26, 2021 3:29 PM",,,,
Queens awareness 11/25/21,"November 25, 2021 3:41 PM",,,,
Coffee meditation 11-24-21,"November 24, 2021 3:27 PM",,,,
Stimulation + forgiveness,"November 23, 2021 4:10 PM",,,,
Dullness holes 11-22-21,"November 22, 2021 4:12 PM",,,,
Shamatha 11-22-21,"November 22, 2021 12:46 AM",,,,
Back home again 11-19-21,"November 19, 2021 10:40 PM",,,,
A nice long breather 11/18/21,"November 18, 2021 4:39 PM",,,,
Delicious stillness in bird 11-17-21,"November 17, 2021 1:45 PM",,,,
sleepy in lsb 11/16/21,"November 16, 2021 1:10 PM",,,,
Dullness and moderate pain 11/11/21,"November 11, 2021 2:57 PM",,,,
hendricks remembering 11/10/21,"November 10, 2021 11:56 AM",,,,
Touch of thumbs 11-8-21,"November 8, 2021 10:56 PM",,,,
Focusing on dullness 11/3/21,"November 3, 2021 8:12 PM",,,,
Focusing on dullness 11/3/21,"November 3, 2021 8:12 PM",,,,
The flow is amazing 10-29-21,"October 29, 2021 1:37 PM",,,,
I would like rest 10-28-21,"October 28, 2021 1:43 PM",,,,
coffee + body scanning 10-20-21,"October 20, 2021 1:02 PM",,,,
Green bird,"October 16, 2021 1:47 PM",,65,,
1hr metta + breathing 10-15-21,"October 15, 2021 12:37 PM",,,,
This time.. I have love 10-14-21,"October 14, 2021 1:39 PM",,,,
Metta in Hendricks 10-13-21,"October 13, 2021 11:48 AM",,,,
Tuesday metta 10-12-21,"October 12, 2021 9:18 AM",,,,
a brand new week 10-11-21,"October 11, 2021 9:34 AM",,,,
metta is back 10-10-21,"October 10, 2021 3:16 PM",,,,
vermont don't lie! 10-9-21,"October 9, 2021 2:10 PM",,,,
Thoughts 10-7-21,"October 7, 2021 1:27 PM",,,,
confidence and dedication 10-1-21,"October 1, 2021 1:11 PM",,,,
fallin asleep a bit 9-28-21,"September 28, 2021 9:47 AM",,,,
touch points for sloth 9-27-21,"September 27, 2021 8:52 AM",,,,
sleepy jhana? 9-21-21,"September 21, 2021 9:28 AM",,,,
Electric joy + belly breathing 9-20-21,"September 20, 2021 8:23 AM",,,,
Wandering 9-15-21,"September 16, 2021 1:14 PM",,,,
First led meditation + more foundation 9-15-21,"September 15, 2021 1:09 PM",,,,
Keep working at it 9/13/21,"September 13, 2021 7:58 AM",,,,
it's time to dedicate to presence 9-12-21,"September 12, 2021 2:15 PM",,,,
Back to metta 9-11-21,"September 11, 2021 1:01 PM",,,,
So much pleasure,"September 10, 2021 2:19 PM",,,,
"Identification = dual elements ","September 9, 2021 9:39 AM",,,,
ECS 392 lecture,"September 8, 2021 10:20 AM",,,,
Earth tears and ranges,"September 7, 2021 8:01 AM",,,,
Earthy face,"September 6, 2021 8:16 PM",,,,
Elemental Qualities Day 2,"September 5, 2021 8:54 PM",,,,
"Elemental qualities ","September 4, 2021 2:44 PM",,,,
Letting Stillness be and working on insight,"September 2, 2021 9:49 AM",,,,
Movements of attention,"September 1, 2021 3:53 PM",,,,
Another run through the gauntlet,"September 1, 2021 8:08 AM",,,,
Pain,"August 31, 2021 8:54 AM",,,,
First Day of school morning meditation,"August 30, 2021 8:04 AM",,,,
"Stillness, like water","August 26, 2021 3:18 PM",,,,
"Back home, before the storm","August 21, 2021 11:43 PM",,,,
Concentration practice is finally becoming consistent,"August 15, 2021 3:33 PM",,,,
Not overreacting > Concentration,"August 13, 2021 3:47 PM",,,,
Weird sit,"August 12, 2021 3:58 PM",,,,
No Armor & Sleep Clinic,"August 11, 2021 3:24 PM",,,,
Sleeeeeepy Concentration,"August 10, 2021 12:31 PM","MIDL 03/52, Mindfulness of Breathing",,,
Sleepy Bliss,"August 9, 2021 11:29 AM","MIDL 03/52, Mindfulness of Breathing, Standing Meditation",,,
hindrance = opportunity = good!,"August 6, 2021 5:48 PM",,,,
Balancing the scale between over-effort and free-flowing beingness (concentration & softening balance more distinct),"August 5, 2021 3:38 PM",,,,
Trudging Through The Mud!,"August 4, 2021 2:31 PM","MIDL 03/52, MIDL 06/52, Mindfulness of Breathing",,,
Tough time with the breath,"August 3, 2021 1:15 PM","MIDL 03/52, MIDL 06/52, Mindfulness of Breathing",,,
Dullness + wandering after weekend,"August 2, 2021 12:14 PM","MIDL 06/52, Mindfulness of Breathing, Stillness",,,
2nd Day back to mindfulness of breathing,"July 29, 2021 1:43 PM","MIDL 06/52, Mindfulness of Breathing, Standing Meditation",43,,
"Total Freedom is possible, but the boundaries of human life within society must be respected","July 28, 2021 2:54 PM",,,,
Sleepy but flexible Gratitude,"July 26, 2021 12:30 PM",Gratitude,68,,
Releasing tension on the meditation object all the time → The key???,"July 23, 2021 2:45 PM",,,,
calmed source / calming anxiety about anxiety,"July 15, 2021 1:32 PM",,,,
,"July 14, 2021 7:49 PM",,,,
True Openess to the greatest fears (paralysis like),"July 14, 2021 7:48 PM",Stillness,,,
Never forget RELATIONSHIP,"July 14, 2021 1:01 PM","MIDL 39/42, MIDL Metta Loved One, Stillness",51,,
Really Hard Morning,"July 13, 2021 1:08 PM","MIDL 03/52, MIDL 39/42, Stillness",,,
Difficulty Forgiving and Dullness,"July 12, 2021 3:14 PM","MIDL Forgiveness, Stillness",49,,
Sitting with intense pain,"July 10, 2021 4:53 PM",,,,
Letting Stillness Arise | What now?,"July 10, 2021 1:07 AM",,17,,
First SP Metta Session | Opening up... somewhere 🕳🕳🕳🕳,"July 8, 2021 2:32 PM","MIDL 03/52, MIDL Metta Loved One",47,,
Sitting With Pain,"July 7, 2021 3:58 PM","Doing Nothing, Stillness",51,,
More Courageous Meditation. Not mine,"July 1, 2021 3:34 PM","MIDL 03/52, MIDL Forgiveness",45,,
The Bravest Meditation Of My Life,"June 29, 2021 3:04 PM","MIDL 03/52, MIDL Forgiveness",65,,
Short retraining and MIDL forgiveness,"June 29, 2021 3:02 PM",MIDL 03/52,42,,
